,Unnamed: 0,id, text, labels, insult, degree, role, guy, abuse,processed
16,16, tweet88_1234888666838945793, @laSextaTV Totally agree with @cayetanaAT, NONVIOLENT, NO,,,, [],   totally agree with
17,17, tweet13_1234968203379593217," @laSextaTV One should not retract when telling the truth. She has defined you perfectly, in fact she has been quite benevolent.", NONVIOLENT, NO,,,, [],   one should not retract when tell the truth she have define you perfectly in fact she have be quite benevolent
18,18, tweet7_1592824664572977152,The fucking Madrid scene full of facades and bad artists and people disgusts now the Almeida/Ayuso to bury that fucking black hole https://t.co/iRqKB5Vsjr, VIOLENT, YEAH, MODERATE, EXECUTOR, POLICY," ['puta', 'fachasy', 'disgusting', 'puto']",the fucking madrid scene full of facade and bad artist and people disgust now the almeidaayuso to bury that fucking black hole
19,19, tweet96_1235237273651814400, @IreneMontero Let's not give ammunition to the Trifachito That slogan does not represent the Feminists Removing it would be the right thing to do. Regards..., NONVIOLENT, NO,,,, [],   lets not give ammunition to the trifachito that slogan do not represent the feminist remove it would be the right thing to do regard
20,20, tweet92_1235342855184486400," @IreneMontero Come on, alone and drunk to claim... Alone and sober is no good. Accompanied and with a cool fart, is that okay??? Is for a friend", NONVIOLENT, NO,,,, [],   come on alone and drunk to claim alone and sober be no good accompany and with a cool fart be that okay be for a friend
21,21, tweet63_1235345065234624514, @IreneMontero Where were you all our lives!!? https://t.co/NNscSWzGUD, NONVIOLENT, NO,,,, [],   where be you all our life
22,22, tweet48_1235509220029710338," @IreneMontero What a nonsense, never dressing or drinking has justified or mitigated any of that beyond the crazy and criminals and some inquisitors who need them to call the male gender in general 'murderer'", NONVIOLENT, NO,,,, [],   what a nonsense never dress or drinking have justify or mitigate any of that beyond the crazy and criminal and some inquisitor who need they to call the male gender in general murderer
23,23,tweet45_1235202448903598080, @laSextaTV The truth hurts a lot. The sect exists thanks to the rancid shit of potemos. Hahaha, VIOLENT, YEAH, MODERATE, EXECUTOR, POLICY," ['left shit', 'stale', 'potemos']",   the truth hurt a lot the sect exist thank to the rancid shit of potemos hahaha
24,24, tweet20_1234887601783484418," @laSextaTV Gentlemen, you are absolutely right.", NONVIOLENT, NO,,,, [],   gentleman you be absolutely right
25,25, tweet61_1234931286768267265, @laSextaTV Alvarez de Toledo remains sincere. Today is strange...., NONVIOLENT, NO,,,, [],   alvarez de toledo remain sincere today be strange
26,26, tweet73_1235374670582595584, @IreneMontero Today another friend from your free childhood group has kidnapped her children., NONVIOLENT, NO,,,, [],   today another friend from your free childhood group have kidnap her child
27,27, tweet50_1234947045473079302," @laSextaTV You criticize every day, it's called freedom of expression.", NONVIOLENT, NO,,,, [],   you criticize every day its call freedom of expression
28,28, tweet79_1234880414243807237, @laSextaTV Why would he retract it? Did he tell any lies?, NONVIOLENT, NO,,,, [],   why would he retract it do he tell any lie
29,29, tweet58_1235179502139068417," @laSextaTV Are you right, why are you going to retract?", NONVIOLENT, NO,,,, [],   be you right why be you go to retract
30,30, tweet35_1234976232669773826," @laSextaTV @cayetanaAT Bravo Cayetana!!!, it seems perfect to me, you are pure garbage, almost reaching the level of TV3", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER, ['you are pure trash'],    bravo cayetana it seem perfect to I you be pure garbage almost reach the level of tv
31,31,tweet36_1235242698531106816," @IreneMontero What a level Maribel! That a ministry, which should represent all of us Spaniards, is in the hands of such an illiterate person is very sad.", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['unlettered', 'very sad']",   what a level maribel that a ministry which should represent all of we spaniard be in the hand of such an illiterate person be very sad
32,32, tweet99_1591811585844334592," @agarzon Today you have come out to criticize and campaign against Ayuso, public health brings it to you in the fresh air, so tell lies to your fucking house, why don't you demonstrate in Barcelona or Aragón? Public health is even worse, you fucking liar, you are.", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['podemonguers', 'to your fucking house', 'fucking liar']",   today you have come out to criticize and campaign against ayuso public health bring it to you in the fresh air so tell lie to your fucking house why do not you demonstrate in barcelona or aragón public health be even bad you fucking liar you be
33,33, tweet58_1235101210878730240, @laSextaTV Do you really think it is wrong for those of La Secta to be considered a propaganda medium instead of a communicative one? So you are more limited than you seem..., VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER, ['you are more limited than you seem...'],   do you really think it be wrong for those of la secta to be consider a propaganda medium instead of a communicative one so you be more limited than you seem
34,34, tweet67_991218086467555328, Anyone calls themselves a therapist or coach #ridiculous, VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER,['ridiculous'],  anyone call themselves a therapist or coach
35,35, tweet64_1234900398332399622," @laSextaTV And that's how we feel. It is true that you are a machine and you know how to use people, but you taught us to recycle and we also threw away the packaging, La Salada journalist. For not calling you ""Son of a Whore"" directly, which is what they want to do.", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['""Motherfucker""']",   and that s how we feel it be true that you be a machine and you know how to use people but you teach we to recycle and we also throw away the packaging la salada journalist for not call you son of a whore directly which be what they want to do
36,36, tweet77_1591879602670034945," Ayuso locked you at home, forced you to wear a muzzle, forced your children to take 2 classes, organized a circus at IFEMA and another at the ""ice rink"" to sell the ""official story."" Those who demonstrated against her today did not say anything about all that. Equal sons of bitches one and the other", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER, ['sons of bitches'],  ayuso lock you at home force you to wear a muzzle force your child to take   class organize a circus at ifema and another at the ice rink to sell the official story those who demonstrate against she today do not say anything about all that equal son of bitch one and the other
37,37, tweet16_1234917954153828354, @laSextaTV We should all act with the courage and courage of Cayetana., NONVIOLENT, NO,,,, [],   we should all act with the courage and courage of cayetana
38,38, tweet5_1234842471940657152,"@laSextaTV @cayetanaAT @cayetanaAT, the cowardly right doesn't even defend you. Some like @FeijooGalicia attack you. The only ones who have defended you are @vox_es. If you are going to say what you think without complexes, the cowardly PP is not your party. It's time to change.", VIOLENT, YEAH, MODERATE, EXECUTOR, POLICY," ['right', 'coward']",    the cowardly right do not even defend you some like   attack you the only one who have defend you be   if you be go to say what you think without complex the cowardly pp be not your party its time to change
39,39, tweet15_1234912403235708929, @laSextaTV Ol Cayetana https://t.co/RM4R8j2N1K, NONVIOLENT, NO,,,, [],   ol cayetana
40,40, tweet2_1591230206169473024," @paisjodido @anluma99 Where do we meet, you are from Ayuso and the PP disgusts you. Or the Ayuso team pays you, and also the PP. You take him dead x2. ?? Your speech falls apart, mate.", NONVIOLENT, YEAH,,,, ['You take him dead'],    where do we meet you be from ayuso and the pp disgust you or the ayuso team pay you and also the pp you take he dead x   your speech fall apart mate
41,41, tweet39_1592204659720335360," @victorgdlv I don't take away even a comma. He has told the entire fucking truth about what the current left is in less than 5 minutes. That's why Ayuso bothers you so much, because of her truths and because you are not able to keep her quiet... Nor will you be.", NONVIOLENT, YEAH,,,, ['the fucking truth'],   I do not take away even a comma he have tell the entire fucking truth about what the current left be in less than   minute that s why ayuso bother you so much because of her truth and because you be not able to keep she quiet nor will you be
42,42, tweet32_1234977073938067456,@laSextaTV The only good thing about your communist TV is the butt of the ape's wife, VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['woman's butt', 'ape']",  the only good thing about your communist tv be the butt of the ape wife
43,43, tweet86_1591241416076058624, The best of my month has undoubtedly been Anitta's twerking a la Ayuso hahahaha. What a fucking gem! https://t.co/5xLuZQdDhR, NONVIOLENT, YEAH,,,, ['fucking gem'],  the good of my month have undoubtedly be anittas twerke a la ayuso hahahaha what a fucking gem
44,44, tweet34_1235701094535307266, @IreneMontero Federico calls you the erudite and the illiterate. I see you more with the second definition., VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER, ['illiterate'],   federico call you the erudite and the illiterate I see you more with the second definition
45,45, tweet18_1235211481974812679, @laSextaTV Totally in your favor. I still remember when you went to look for VOX voters at the doors of their house. I have not seen the same with the nationalists or with the rest. 100% Cayetana., NONVIOLENT, NO,,,, [],   totally in your favor I still remember when you go to look for vox voter at the door of their house I have not see the same with the nationalist or with the rest   cayetana
46,46, tweet1_1592225406547288065,"@SergioPerezben1 @aterra2s And the almost 8,000 elderly people in the community of Madrid were also killed by the PSOE or the crazy ayuso whore. The left also killed those in the gutters, right? And neither did he negotiate the PP with ETA with Aznar and when Ángel Blanco's body was still hot. Dais ascazo", VIOLENT, YEAH, SERIOUS, EXECUTOR, OTHER," ['he killed them', 'the crazy whore', 'I killed them', 'Dais ascazo']",   and the almost   elderly people in the community of madrid be also kill by the psoe or the crazy ayuso whore the left also kill those in the gutter right and neither do he negotiate the pp with eta with aznar and when ángel blancos body be still hot dais ascazo
47,47, tweet85_1591862684299005952," Whatever sign you are, what a bad defense Ayuso has, and that being the case, stop talking nonsense, excuses justifying the indefensible, just shut the fuck up and put up with the downpour. Trashy hooligan!", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['shut the fuck up', 'cheap']",  whatever sign you be what a bad defense ayuso have and that be the case stop talk nonsense excuse justify the indefensible just shut the fuck up and put up with the downpour trashy hooligan
48,48, tweet12_1234844255937605632," @laSextaTV Much encouragement to @cayetanaAT, he will need it with such scoundrels like @laSextaTV and @DebatAlRojoVivo", VIOLENT, YEAH, MODERATE, EXECUTOR, POLICY, ['scoundrels'],   much encouragement to   he will need it with such scoundrel like   and
49,49, tweet85_1235311308188377092,"@IreneMontero And with this MACHIST who defines himself as a psychopath, what are we doing??? https://t.co/ts4eXuoq0S", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['MACHIST', 'psychopath']",  and with this machist who define himself as a psychopath what be we do
50,50, tweet82_1592851422693163013," @Monica_Garcia_G You feel between pity and disgust hahahaha, really, the best thing that could happen to Ayuso is that you are leader of the opposition. If you care so much about health, get to work as a doctor and stop making him ridiculous.", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['You're between shame and disgust', 'stop making a fool of yourself']",   you feel between pity and disgust hahahaha really the good thing that could happen to ayuso be that you be leader of the opposition if you care so much about health get to work as a doctor and stop make he ridiculous
51,51, tweet23_1234926847122706435, @laSextaTV How are you going to retract it? You have been media-snaring politicians and other actors in public life to silence them or make them swallow your neo-communist ideology. More and more people will stand up to your devastating and vile neo-communist ideology., VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER, ['devastating and vile neocommunist ideology'],   how be you go to retract it you have be mediasnare politician and other actor in public life to silence they or make they swallow your neocommunist ideology more and more people will stand up to your devastating and vile neocommunist ideology
52,52, tweet52_1590884096565465090,"@josevico4 The best thing is that they don't let Ayuso speak... what a disgusting democracy where a politician goes and says something you don't like, right?", VIOLENT, YEAH, MODERATE, PASSIVE, OTHER, ['disgust'],  the good thing be that they do not let ayuso speak what a disgusting democracy where a politician go and say something you do not like right
53,53, tweet19_1235566706593894407, @IreneMontero Can you be more incompetent??, VIOLENT, YEAH, MODERATE, EXECUTOR, POLICY, ['incompetent'],   can you be more incompetent
54,54, tweet14_1235520200616873984, @IreneMontero the equal-d ni-nister stars in the unicorn revolution: https://t.co/uzbXanQjWo, VIOLENT, YEAH, MODERATE, EXECUTOR, POLICY, ['ni-nistra'],   the equald ninister star in the unicorn revolution
55,55, tweet75_1235864654879977473, @laSextaTV @cayetanaAT That's right. The PP does not have the arrests it needs to have to defend Mrs. Álvarez de Toledo., NONVIOLENT, NO,,,, [],    that s right the pp do not have the arrest it need to have to defend mrs álvarez de toledo
56,56, tweet1_1591762894374727680," @Listuja @AntonioMaestre Hahahahahahaha, but look how stupid you are @Listuja Even the prompter knows that your beloved party of the corrupt seagull has destroyed health care throughout the country, but the crazy bitch Ayuso has set fire to that of Madrid. You fucking disgust.", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['you're stupid', 'he's crazy', 'you're fucking crazy', 'You're fucking disgusting']",    hahahahahahaha but look how stupid you be   even the prompter know that your beloved party of the corrupt seagull have destroy health care throughout the country but the crazy bitch ayuso have set fire to that of madrid you fucking disgust
57,57,tweet81_990141065368952833," Someone please explain to me this Penal Code, this CGPJ, this Government and previous Ministers of #Justice. What is this shit? What do these people take ""Fachardón complex"" to pass sentences? It's very #disgusting then you shit on #whore #Spain and they lynch you. ATPAss now!", VIOLENT, YEAH, MODERATE, EXECUTOR, POLICY," ['It's very #disgusting', 'whore', 'lynching', 'ATPCulo ya']",  someone please explain to I this penal code this cgpj this government and previous minister of   what be this shit what do these people take fachardón complex to pass sentence its very   then you shit on    and they lynch you atpass now
58,58, tweet14_1235486441322328065," @laSextaTV Has Ferreras already recanted because of the suicide bomber full of underwear on 11-M?? Because, time has had, it's already been 16 years.", NONVIOLENT, NO,,,, [],   have ferrera already recant because of the suicide bomber full of underwear on m because time have have its already be   year
59,59, tweet95_1593573873278222336, It's just that Ayuso caught you and grabbed your 4 hairs and smashed your skull against a curb DAUGHTER OF A BITCH, VIOLENT, YEAH, SERIOUS, EXECUTOR, OTHER," ['I caught you and', 'I grabbed you', 'I smashed your skull against a curb', 'DAUGHTER OF A BITCH']",  its just that ayuso catch you and grab your   hair and smash your skull against a curb daughter of a bitch
60,60, tweet59_1591326154228916225,"@Asturika1 Now he will reach one of those media outlets that have the same lack of shame as him and gives voice to his antics or those of the cynical and crazy Ayuso and her voters who at this point do not have much higher status than him because he Same, disgusting people", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['cynical', 'crazy', 'disgusting']",  now he will reach one of those medium outlet that have the same lack of shame as he and give voice to his antic or those of the cynical and crazy ayuso and her voter who at this point do not have much high status than he because he same disgusting people
61,61, tweet40_1592447545112154113, @HoyPorHoy @EduMadina @jlayllon @VictorLapuente The infamous indecency that comes from the @Hora14 and @La_SER news programs with the unpresentable PP members of the narcoyacht Feijoo and the brainless Ayuso repeating her nonsense over and over again is a lack of respect for the audience and says a lot about its unpresentable owners. Disgust, VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['the brainless one', 'Disgust']",      the infamous indecency that come from the   and   news program with the unpresentable pp member of the narcoyacht feijoo and the brainless ayuso repeat her nonsense over and over again be a lack of respect for the audience and say a lot about its unpresentable owner disgust
62,62, tweet95_1592105229872689153,"@AnabelAlonso_of Criticizes that there are many cities where healthcare is disgusting and it is not the fault of the ayuso but of your reddish state who are the ones who give the money, you piece of donkey! Here in Valencia they are yours and health care is worse because you don't talk about them? That's not interesting, right???", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER, ['burraca'],  criticize that there be many city where healthcare be disgusting and it be not the fault of the ayuso but of your reddish state who be the one who give the money you piece of donkey here in valencia they be yours and health care be bad because you do not talk about they that s not interesting right
63,63, tweet62_1234898749266284544, @laSextaTV This girl has a badass face, NONVIOLENT, NO,,,, [],   this girl have a badass face
64,64, tweet3_1234950910842998790," @laSextaTV And it is very soft. If we said what we thought of you, mercenaries...", NONVIOLENT, NO,,,, [],   and it be very soft if we say what we think of you mercenary
65,65, tweet39_1591873412158615553, THESE ARE DISGUSTING. HOW HE HELPED HER. https://t.co/DdaWmfavGx, VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER, ['THEY ARE DISGUSTING'],  these be disgusting how he help she
66,66, tweet26_1592136080064937985," @aperezboix I have used the Andalusian socialist when it was!!! And in a week, a holiday in the region, the attention was exceptional and they called me several times in case I was feeling well or unwell... In Madrid, with Ayuso and with CANCER and COVID19 not a single fucking call... I don't know what to say !!! But...", NONVIOLENT, YEAH,,,, ['calling whore'],   I have use the andalusian socialist when it be and in a week a holiday in the region the attention be exceptional and they call I several time in case I be feel well or unwell in madrid with ayuso and with cancer and covid not a single fucking call I do not know what to say   but
67,67, tweet86_1235241566056435712,"@IreneMontero When we make sure that the girl comes home ""alone and drunk,"" the next step is to ask ourselves why a girl or boy comes home alone and drunk? Maybe these kids need help with values in search of identity that will make them not go ""alone and drunk.""", NONVIOLENT, NO,,,, [],  when we make sure that the girl come home alone and drunk the next step be to ask ourselves why a girl or boy come home alone and drunk maybe these kid need help with value in search of identity that will make they not go alone and drunk
68,68, tweet31_1591865257101762560," The perfect excuse to fire Ayuso now is #Healthcare. Previously, it was that he benefited his brother. They are so desperate that they no longer know what to do, politics sucks", VIOLENT, YEAH, MODERATE, PASSIVE, OTHER, ['it's gross'],  the perfect excuse to fire ayuso now be   previously it be that he benefit his brother they be so desperate that they no long know what to do politic suck
69,69, tweet7_1235177638416744450," @laSextaTV I can say that you lied and made a tailor-made suit for ONCE to go against a Disabled Organization that has more than 150 rulings for and against ONCE, but you after paying ONCE supposedly 6 million euros in advertising, they made it seem otherwise.", NONVIOLENT, NO,,,, [],   I can say that you lie and make a tailormade suit for once to go against a disabled organization that have more than   ruling for and against once but you after pay once supposedly   million euro in advertising they make it seem otherwise
70,70, tweet20_1592067918678097921,"@RosaVillacastin The slogan of the demonstration was ""HELP YOU WHORE""? very fine Rosa, we remember you for Torreciudad!", VIOLENT, YEAH, MODERATE, INFORMATIVE, POLICY," ['""HELP YOU WHORE""?']",  the slogan of the demonstration be help you whore very fine rosa we remember you for torreciudad
71,71, tweet73_1235093930347245568," @laSextaTV You mean ""the Sect"" right? Bravo for Cayetana!!!!", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['""the sect""']",   you mean the sect right bravo for cayetana
72,72, tweet31_1235270762845655043," @IreneMontero Irene, you have made a mistake with the motto. No problem. Please correct. No parent is calm if their child comes home drunk because, in addition to being bullies, they can suffer a mishap and not be aware of it. Alcohol yes, but in moderation", NONVIOLENT, NO,,,, [],   irene you have make a mistake with the motto no problem please correct no parent be calm if their child come home drunk because in addition to be bully they can suffer a mishap and not be aware of it alcohol yes but in moderation
73,73, tweet84_1234950949938044933, @laSextaTV La Secta...TV and this woman is absolutely right. You are a populist media that some of your programs are truly disgusting., VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['The Sect', 'they really disgust you']",   la sectatv and this woman be absolutely right you be a populist medium that some of your program be truly disgusting
74,74, tweet48_1235457695559319552,"@IreneMontero Alone and drunk I want to get to work, it would be terrible right? I can't imagine having a mother like that. I prefer that she come with my father or partner and sober. But anyway, I respect that you like alcohol and solitude too much, even if the treatment costs us money later.", VIOLENT, NO, MODERATE, EXECUTOR, OTHER, ['that you like alcohol excessively'],  alone and drunk I want to get to work it would be terrible right I can not imagine have a mother like that I prefer that she come with my father or partner and sober but anyway I respect that you like alcohol and solitude too much even if the treatment cost we money later
75,75, tweet22_1234940789643501569," @laSextaTV But why do you act offended, you have what you deserve, for lying and being at the command of the left of this country", VIOLENT, YEAH, MODERATE, EXECUTOR, POLICY," ['you get what you deserve', 'lying', 'bullshit']",   but why do you act offend you have what you deserve for lie and be at the command of the left of this country
76,76, tweet95_1235158755391803392, @laSextaTV WE ARE WITH CAYETANA!!, NONVIOLENT, NO,,,, [],   we be with cayetana
77,77, tweet89_1235220816805138440, @IreneMontero What an embarrassment from a Minister of the same thing. What an embarrassment., VIOLENT, YEAH, MODERATE, EXECUTOR, POLICY, ['How embarrassing'],   what an embarrassment from a minister of the same thing what an embarrassment
78,78, tweet48_1592535216249528321, @telecincoes That he explains it to his boss is astonished as he defends Ayuso's inept Trumpist and clown., VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['inept', 'clown']",   that he explain it to his boss be astonish as he defend ayusos inept trumpist and clown
79,79,tweet9_1234851146667302913," @laSextaTV @cayetanaAT The problem is the absolute lukewarmness of the other leaders of @populares; Maybe you should consider other, much better political options without a doubt.", NONVIOLENT, NO,,,, [],    the problem be the absolute lukewarmness of the other leader of   maybe you should consider other much well political option without a doubt
80,80, tweet14_989568575223619584," Unions, you are making a #ridiculous traitor @ufpol @Sup_Policia @cep_cepolicia @AUGC_Comunica @UnionGC @SPPnacional @ASP_CNP #MarchaporlaEquiparacionYou are already the architects of #falseequiparacin, what have they given you to sell you? Sold! Not even the crumbs you signed!", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['you are being #ridiculous', 'traitors']",  union you be make a   traitor          be already the architect of   what have they give you to sell you sell not even the crumb you sign
81,81, tweet94_1234976983408205824, @laSextaTV @cayetanaAT It's good that he doesn't retract it., NONVIOLENT, NO,,,, [],    its good that he do not retract it
82,82, tweet76_1235835045446692864, @laSextaTV I like this woman better and better, NONVIOLENT, NO,,,, [],   I like this woman well and well
83,83, tweet9_1234930906990772225, @laSextaTV It's good. Tells the truth., NONVIOLENT, NO,,,, [],   its good tell the truth
84,84, tweet84_1591559764625989632,"@laSextaXplica The one who has been calling Ayuso all night with a disgusted face, TACHER says that Tomorrow's No To War is not politicized. Hahahaha hahahaha hahahaha hahahaha hahahaha", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER, ['with a disgusted face'],  the one who have be call ayuso all night with a disgusted face tacher say that tomorrow no to war be not politicize hahahaha hahahaha hahahaha hahahaha hahahaha
85,85, tweet97_1234956788497309703," @laSextaTV You are the sextapo, political commissioners", VIOLENT, YEAH, MODERATE, EXECUTOR, POLICY, ['sextapo'],   you be the sextapo political commissioner
86,86, tweet29_1235508907507879936," @IreneMontero THE DIFFERENCE BETWEEN ABUSE AND AGGRESSION IS SO THAT THERE ARE LESS VIOLATIONS BY KNOWING THAT YOU GET MORE PENALTIES FOR DOING AN ABUSE WHICH AN AGGRESSION IS USELESS, IF FOR DOING EITHER OF THE TWO YOU WILL GET THE SAME PENALTY TO THE RAPISTS. THE SAME DOING THE MOST SERIOUS THING, PIECE OF STONE.", VIOLENT, YEAH, MODERATE, EXECUTOR, POLICY," ['SO USELESS', 'PIECE STONE.']",   the difference between abuse and aggression be so that there be less violation by know that you get more penalty for do an abuse which an aggression be useless if for do either of the two you will get the same penalty to the rapist the same do the most serious thing piece of stone
87,87, tweet39_1234903929655373825, @laSextaTV Absolutely true, NONVIOLENT, NO,,,, [],   absolutely true
88,88, tweet97_1235137301241618432," @laSextaTV The truth hurts. When he is right. Look at your hearings, you may find something clear. And not all of us are fascists.", NONVIOLENT, NO,,,, [],   the truth hurt when he be right look at your hearing you may find something clear and not all of we be fascist
89,89, tweet24_1592080521869524992,"@Juanma_Cabrera @todoatreseuros @ppmadrid Hahaha what a level the PP have. If you want Almodovar who can pay for it, he will go to the public, which is fucking shit. If we all could right now we would go to the private one, because it is better to pay than to die, like the grandparents in the nursing homes. Ayuso DIMISIN", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER, ['fucking shit'],    hahaha what a level the pp have if you want almodovar who can pay for it he will go to the public which be fuck shit if we all could right now we would go to the private one because it be well to pay than to die like the grandparent in the nursing home ayuso dimisin
90,90, tweet86_1234909227573006337, @laSextaTV How dare you say that about a truthful and impartial media outlet like yours... By the way... Did you find the 44 from Vox in Marinaleda?, NONVIOLENT, NO,,,, [],   how dare you say that about a truthful and impartial medium outlet like your by the way do you find the   from vox in marinaleda
91,91, tweet0_1234926735596060672, @laSextaTV He said what many of us think., NONVIOLENT, NO,,,, [],   he say what many of we think
92,92, tweet33_1591890445764026368," @SentiSerra It is cast at the polls, I hope that today is reflected in them, because if Ayuso is dismantling public health it is because people voted for canes and beers. That's so sad. Disgust", NONVIOLENT, YEAH,,,, ['Disgust'],   it be cast at the poll I hope that today be reflect in they because if ayuso be dismantle public health it be because people vote for cane and beer that s so sad disgust
93,93, tweet53_1591501009410748417,"@rosadiezglez Not like Ayuso, who is very concerned about health and people, that's why she let the elderly die alone and without caring for them in the nursing homes. You are very disgusting", VIOLENT, YEAH, SERIOUS, EXECUTOR, OTHER," ['let me die', 'You are very disgusting']",  not like ayuso who be very concerned about health and people that s why she let the elderly die alone and without care for they in the nursing home you be very disgusting
94,94, tweet5_1234883194752786433," @laSextaTV She has nothing to retract, she tells the truth like the brave woman she is, period.", NONVIOLENT, NO,,,, [],   she have nothing to retract she tell the truth like the brave woman she be period
