text,label
"এটাকে গুজব কেন বলে আমি বুজলাম না, ঘটনা কি সত্যি নয়?",0
সরকার এরকম তো বহুতে আশ্বাস দেয় বালের মাথা কিছুই হয় না। সরকার বাটপার তাই জনগন রাস্তায় নেমেছে,1
অপশক্তি বলতে ওবায়দুল কাদের ইসলামপন্থীদেরকে বুঝিয়েছেন কিন্তু ওনার জানা উচিত ইসলামপন্থীরা কখনো নোংরা রাজনীতি করেনা,0
হিন্দু মুসলিম কে নিয়ে বাংলাদেশের রাজনীতির শেষ হবে না সবচেয়ে বেশি আওয়ামী সরকারের সময় হামলা হচ্ছে আমি মুসলিম আমি চাই আমাদের হিন্দু ভাইয়েরা তাদের ধর্মীয় বিশ্বাস এবং পূজা সহ যাবতীয় কাজকর্ম সাবাবিক ভাবে করুক।,0
ভাই বিবিসি নিউজ বলে চেনেল টা সাব্চক্রাইব করেছিলাম আবার সেটা আনসাব্ছক্রাইব করলাম। কারন আপনারাও সত্য নিউজটা বলেন না তাহলে হিন্দুদের বিরুদ্ধে যাবে। আপনি কি করে বললেন। মোন্দিরে কোরআন পাওয়া গেছে। এটা কেনো বললেন। সত্যটা হলো মোন্দিরে মুত্তির হাটুর উপরে কোরআন পাওয়া গেছে সেটা বলতে লজ্জা করে তাইনা,1
মন্দিরে কোরয়ান রেখে যারা মন্দিরের পবিত্রতা নষ্ট করেছে তাদের বিচার চাই,0
"সত্য প্রচার করতে ভয় পাশ নাকি। দালালের দল,,,,",1
সুন্দর প্রত্যেকের জন্য কুরআন ও কুরআন শেখে হিন্দু মানুষ,0
কোরআন অবমাননার খবর কই। কোরআন পাওয়া রে পাগল কোরআন অবমাননা,1
আগের যে হামলা হয়েছিল তার রেজাল্ট কি? পত্রিকায় দেখলাম নাসির নগরে ঘটনার অভিযুক্ত চেয়ারম্যান কেউ মেম্বার প্রার্থী।,0
"আমি এখানে মুসলিম ভাইদের বলবো গালাগালি না করে,,সরকার কে বলি যার যার ধর্ম তার তার অনুষ্ঠান,, আমরা কাহারো ধর্ম অনুষ্ঠানে যাবোনা,,,আমরা যারা মুসলমান আসো আমরা ওয়াদা করি আজ থেকে আমরা অন্য ধর্মের কোন ধর্মিয় অনুষ্ঠানে যাবো না,,,,আসাকরি হিংসা বিদ্বেষ চলে যাবে,,, আর হিন্দুদের কে বলবো তোমরা কেউ আমাদের রাসুল সঃ কে নিয়ে বাজে কথা বলোনা,,,আল্লাহ এবং ইসলাম নিয়ে বাজে কথা বলিওনা",0
ভারতে মুসলিম হত্যা আর বাংলাদেশে হিন্দু হত্যা চলবেই। এটাই অনেকের রুটিরুজি।,1
যে মন্দীরে কুরআন কে অপমান করা হইছে সেই মন্দীরকে ধংস্স করা হোক অনেক হিন্দু আছে যারা ইসলাম কে ভালবাসে অন্য হিন্দু রা দোষ করে নাই ওদের উপর নির্যাতন ইসলাম সর্মথন করে না,2
অনতিবিলম্বে আমরা সুষ্ঠু বিচার চাই,0
"কি অবস্থা,, দোষ করলো কে , গুলি করে হত্যা করেছে মুসলমানদের,,,",1
যারা মূর্তিরর পায়ের উপর কোরআন রাখলো তাদের কোন বিচারের খবর নেই অথচ আন্দোলনকারীদের উপর প্রশাসন চড়াও হলো।,0
গুজব এবং অপশক্তি বলতে কাদেরকে বুঝাচ্ছেন ঘটনা কি সত্য নয়,0
এই জন্য সারাদিন ব্রডব্যান্ড ও মোবাইল ডাটা বন্ধ ছিল সেটা বলবেন না!??!,0
কালকে ভারতের মসজিদে মুর্তির ভাঙ্গা টুকরা পাওয়া যাবে। তারপর দেখবা মসজিদ কিভাবে ভাঙ্গা হবে। একটা একটা করে ভারতীয় মুসলিমকে জবাই করা হবে মুর্তির অবমাননা করার জন্য।,2
"যারা সাম্প্রদায়িক সম্প্রীতি নষ্ট করার চেষ্টা করেছে তাদের কঠোর ভাবে দমন করতে হবে। সামাজিক ভাবে এদের বয়কট করতে হবে। এরা দেশের শত্রু, সমাজের শত্রু, ধর্মের শত্রু।",0
"অব্শ্যয় এর শাস্তি অপেক্ষা করছে, না জেনে বুঝে মন্দিরে হামলা করলি। উস্কানিমূলক পোস্ট করে নিজেরাই চক্রান্ত করেছিস। শাস্তি অবশ্যয় পাবি।",1
চমৎকার সংবাদ। এজন্যই মানুষ আপনাদের এরক পছন্দ করে,0
ওহাইরে পুলিশ তুমরা এত নিরপেক্ষ বাংলাদেশ সিংগাপুর আর৷ আগে হয়ে যেত,1
কোরআন শরিফ টা ওইখানে রাখলো কে আগে সেটা সঠিক তদন্ত করে বেড় করুন। আপনি জেনে দেখবেন ইসলাম কখনও নিরপরাধ মানুষদের উপর আক্রমণ করতে শেখায়নি।,0
কোরআনকে মনে হয় এর কাছে ছোট একটা জিনিস এর কথা মনে হয় সেই হিন্দুস্থানের রাজাকার হিসেবে দালালি করতেছে,1
যাদেরকে মারা হয়েছে তাদের কি হবে,0
"সত্য প্রকাশ করুন যদি এক পিতার সন্তান হয়ে থাকেন!! আপনাদের মত মিডিয়ার কারণে দেশে আজ এই পরিস্থিতি, সত্য আড়াল করে মিথ্যা কে প্রচার করেন আপনারা!! আমরা মুসলিমরা কখনোই আপনাদের ভুলবো না!! একদিন না একদিন সত্য ঠিকই প্রকাশ পাবে ইনশাআল্লাহ",0
সাংবাদিকতা করতে এসে ঠান্ডা সন্ত্রাসী বন্ধ করো,1
"ভাই এমন চাকরি দরকার কি যে যাইগায় সত্যি কথা বলতে পারেননা,,",0
"যারা ভাংচুর করেছে তাদের শাস্তির বিষয়ে বলে, কিন্তু যাদের জন্য এই হামলা সেইটা নিয়ে কোনো কথা নাই কেনো???",0
মন্দিরে হামলা এটা অবশ্যই নিন্দনীয়। কিন্তু যে কারনে মন্দিরে হামলা হলো সেই প্রেক্ষাপট নিয়ে এক্কেবারে নিশ্চুপ এসব আবাল মিডিয়া।,1
ভাই আপনারা অন্তোত সঠিক ভাবে সংবাদ প্রকাশ করুন যেন মানুষ সত্য জানতে পারে,0
"এটা বিএনপির টেস্ট কেস। মনে হয় এখান থেকেই সরকার পতনের আন্দোলনে যাবে বিএনপি। সফল হলে অভ্যুত্থান। ব্যার্থ্য হলে সাম্প্রদায়িক দাঙ্গা। মনে হয় বিএনপি নেতাদের মগজে একটা যুতসই আস্ত পরিকল্পনা এলো। সাবাস, বিএনপি, সাবাস।।",1
"আমরা মুসলিম রা শান্তিপ্রিয় জাতি। এক জনের অপরাধেরর জন্য একটি পুরো ধর্মীয় গোষ্ঠীকে দায়ী না করার জ্ঞান আমাদের আছে। দয়া করে আজকে কেউ কোনো অপ্রীতিকর ঘটনা ঘটিয়ে দেশকে অস্থিতিশীল করার চেষ্টা করবেন না। কুমিল্লায় পুজা মন্ডপে পবিত্র কোরআন পাওয়া ভারতের একটা ষড়যন্ত্র, একটা ফাঁদ। দয়া করে কেউ উত্তেজিত হয়ে কোন অনাকাঙ্ক্ষিত ঘটনা ঘটিয়ে এদের ফাঁদে পা দিআেন না",0
কোরানের প্রতি অবমাননা করবে আর মুসলমানেরা পুজা মন্ডপে গিয়ে কি মিষ্টি বিতরণ করে আসবে নাকি?,1
"আসেন আমরা বিবিসি বাংলা চ্যানেলটা বয়কট করি।এতো নিরাপত্তার মধ্যে কুরআন কিভাবে মন্ডপে মূর্তির পায়ের নিচে গেল সেটা একবারও জিজ্ঞেস করেনি। এই চ্যানেলটা ভারতীয়দের দ্বারা পরিচালিত, তারা এদেশে থেকে এদেশে খেয়ে, এদেশের বিপক্ষে কাজ করে।কোনো ধরনের সহিংসতার পক্ষে নই আমি কিন্ত মন্ডপ ভাঙ্গার সাথে কুরআনের অবমাননার খবর আসলো না কেনো?",1
"বাংলাদেশে সবাই সংখ্যালঘুদের বিরধী, আইন শৃঙ্খলা বাহিনীও, তারা কিছুই করে না তাদের জন্য, আশ্বাস দেয় শুধু।। আর তারপর মজা দেখে, হবে না কেনো, মুসলিম বলে কথা, তাদের ধর্মগ্রন্থ অমুসলিমদের হত্যা করাই তো শেখায়...।।",1
বিশ্বের মিথ্যা কথাগুলো গুছানো হয়নি,0
মিথ্যা প্রকাশ মানে বিবিসির সংবাদ,1
বাংলাদেশের খবর নিয়ে মিথ্যা কথা বলবেন না আওয়ামী লীগের পা চাটা গোলাম হচ্ছে বিবিসি,1
"নামে মুসলমান সাংবাদিক ভাইদের কে অনুরোধ করছি আপনারা দালালি এবং নাস্তিকতাবাদ ছেড়ে দ্বীনের পথে আসুন 🤗 দালালি কখনোই আপনাকে কবরের আজাব থেকে মুক্তি দিবে না, কোরআন অবমাননার করা হয়েছে বলে মানুষ রাস্তায় প্রতিবাদে নেমেছে, নিরাপত্তা বাহিনীর কাছে অনুরোধ আসল ব্যক্তিকে গ্রেফতার করুন সে যে ধর্মেরই হোক না কেন 🤯🤯",0
পুজা মন্ডপে কুরআনের অবমাননা কেন ? সেই প্রশ্ন কই? ইসলাম এই দুনিয়ার প্রতিটি ঘরের দরজার কড়া নেড়ে জানিয়ে দেবে আল্লাহ এক মুরতি পুজা হারাম দুনিয়াতে আর যত সব ধর্ম সব বাতিলইসলামই হলো আল্লাহর আইন ও রাষ্ট্র ব্যাবসতা এর বাহিরে মানব জাতির মুক্তি নাই,1
আপনাদের কাছে একটা প্রশ্ন আপনারা কি কখনো নিরপেক্ষ ভূমিকা পালন করতে পারবেন না?আপনারা তো সাংবাদিকতা পেশাটাকে বদনাম করতেছেন,0
কুরআন পবিত্র এ কথাটা কি আপনার মুখে আসেনা,0
"যে বইয়ে মানুষকে কতল করার শিক্ষা দেয়, মানুষকে অন্ধকারে রাখে যে বইয়ের নির্দেশনা সে বই পবিত্র হতে পারে না।",2
আপনি বললেন পূজামণ্ডপে কোরআন পাওয়া গেছে অথচ এটা বললেন না যে মূর্তির পায়ের উপরে কোরআন পাওয়া গিয়েছে আপনারা এত মিথ্যা বলেন কেন?????,1
আপনারা তো আপনাদের নিউজের হেডিং দিয়েই সাম্প্রদায়িকতা ছড়াচ্ছেন!? মন্দিরে যে কুরআন রাখা হল সেটার কথা কি আপনারা জানেন না? এটাতে কি মুসলিমদের ধর্মীয় বিশ্বাসে আঘাত লাগেনি? এটা ঠিক যে যারা মন্দিরে হামলা করেছে তারা অপরাধ করেছে আর তাদের কঠিন শাস্তি হওয়া উচিত। কিন্তু যারা কুরআন রাখল তাদের কি? আপনারা তো তাদের শাস্তির ব্যাপারে কিছু বললেন না!?,0
মুন্দির হামলা হয়েছে জন্য নিউজ করলেন। কুরআন শরীফ কেন রাখা হলো সেই বিষয়ে তো কোন কথা বলছেন না। অন্যান্যদের মতো আপনারাও কি হলুদ সাংবাদিক হলেন।,1
বিবিসি বাংলা প্রত্যক্ষ ভাবে দাংা লাগানোর জন্য উস্কানি দিচ্ছে,1
পবিত্র কোরঅান শরিফ বলুন সাংবাদিক ভাই?,0
নিরপেক্ষ আলোচনা আসলে কেউই চায় না।কেউই চায় না সত্য প্রকাশ হোক।একদল মানুষ দেখছি বিবিসি বাংলা নিউজের মত চ্যানেলকে গালি দিচ্ছে,0
আশা করি এর পর থেকে পবিত্র কোরান বলবেন।,0
পুলিশ বা মন্ত্রীদের আশ্বাসে এই পযন্ত কয়টা বিচার হয়েছে বাংলাদেশে। সাংবাদিকের কাছে পশ্ন রইল।,0
পবিত্র ধর্মগ্রন্থ কুরআনুল কারিমের অপমান করলো।তা বলেনা কেন?? শুধু ভাংচুর তা-ই দেখলে বিবিসি প্রবাহ😠😠😠,1
"মিথ্যা কখনই কাউকে বাঁচাতে পারবে না,,,,, সত্যের জয় সব সময় হবে ইনশাআল্লাহ ❤️",0
পুলিশ জেনে বুঝে তাদের হত্যা করেছে😪,1
প্রত্যেকবার এই কথাই বলেন তারপরে আবার হামলা করেন। দোষীকে লুকাতে চান তারপরে বলেন জঙ্গিবাদের সাথে ইসলামের কোন সম্পর্ক নাই,1
পবিত্র কুরআন শরীফ বলবেন? শুধু কোরআন বলবেন না?,0
আমিও আপনার সাথে একমত,0
জাতীর কাছে আমার জানতে ইচ্ছে করে স্বাধীন বাংলাদেশের হিন্দুরা শুধু পুঁজা বা যেকোন অনুষ্টান করলে নিরাপত্তা প্রয়যেন কোন হয়??? এ দেশ সাধীন করেছিলেন কোন???,0
মুসলমানদের ওয়াজ মাহফিলেও নিরাপত্তার বাবস্তা করা হয়। লোক সমাগম বেশি হয় তাই।বোকার মত প্রশ্ন করলেন ভাই আপনি। আর যেখানে লোক সমাগম বেশি হয় সেই খানে আইনবহিরভূর্ত কাজ হতে পারে তাই,0
বাংলাদেশের সময় হলুদ মিডিয়াকে বয়কট করা সময়ের দাবি।,1
"যারা পবিত্র কোরআনকে অপমান করছে তাদের প্রকাশ্যে ফাঁসি চাই,,,আর এই নিয়ে পুরো দেশে গন্ডগোল করে দেশের ক্ষতি করে লাভ নাই,, কারণ পুরো হিন্দু জাতি তো আর অন্যায় করে নাই,,,,,,,",1
"হিন্দুরা রেখেছে দেখছোস তুই?গত রামু মন্দির, নোয়াখালীতে হিন্দু বাড়ি ঘর ভাংলো ফেসবুক স্ট্যাটাস নিয়ে,,পরবর্তীতে তদন্তে দেখা গেলো এটা ৩য় পক্ষের কাজ,,,এখানেও তাই হয়েছে হিন্দুরা জেনে শুনে রাখবে কেন ওখানে?তারা জানে না এটা করলে তাদের পূজা হবে না সেখানে মেরে ফেলা হবে",1
"ভারতীয় দালাল নির্মূল এখন সময়ের দাবি, ভারত হলো বাংলাদেশের সকল সমস্যার মূল হোতা।",1
পবিত্র কুরআন বলেন সংবাদ পাঠক।,0
কোনো মুসলিমের বাচ্চাই এটা রাখছে আন্দোলন করে শহীদ হবার জন্যে।,1
একবার ভেবে দেখেন তো বাংলাদেশে হিন্দুদের পাওয়ার ঠিক কতটা যে কাজটা ভারতে করার সাহস পাচ্ছে না সেটা বাংলাদেশ করে দেখাচ্ছে..যখন আমরা পিটাইতে যাব তখন বলবে আমরা সংখ্যালঘু বলে আমাদের নির্যাতন করে...,1
সটিক খবর প্রকাশ করবেন আশা করি কি বলেন সবাই।,0
ভাই বানান ঠিক করে লিখেন,0
"দেখেছো, হিন্দুরা কোথাও নিরাপদ নয়, মুসলিমরা কত হিংস্র....ইন্ডিয়ান হিন্দুদের প্রতি নরেন্দ্র মোদী ও বিজেপি নেতাদের বক্তব্য।এই ঘটনার সঠিক তদন্ত হলে &#39;র&#39; এর সংশ্লিষ্টতা মিলবে।",1
ঈদেও প্রতিটি জায়গায় নিরাপত্তা ব্যবস্থা জোরাদার করা হয়।জাতীয় দিবস গুলোতেও একি অবস্থা।জঙ্গী হামলার আশংকা থাকে,0
কিছু কিছু আবালরা পুলিশের ধর্ম বিচার করছে 😂😂কিন্তু কুমিল্লার মন্দিরে কোরান শরীফ যে ইকবাল হুসেইন রেখেছিলো যারফলে নিরাপরাধী হিন্দুদের ওপর অত্যাচার হলো তো বাংলাদেশের মুসলমানরা ইকবাল হুসেইনের বিচার করছে না কেনো?,1
ভাবতে অবাক লাগে বাংলাদেশের সব পুলিশকি অমুসলিম হয়ে গেছে কিভাবে আলেমদের উপর নির্যাতন চালাতে পারে আল্লাহ সকলকে হেদায়েত দান,0
"এটা স্যাম্পল, সামনে ভয়াবহ আন্দোলন হবে মনে হচ্ছে।",0
একদিন সব কিছুর বিচার হবে ইনশাআল্লাহ,0
আল্লাহ এদের বিচার করবে তা বেশি দুরে নাই ইনশাআল্লাহ,0
"ইসলামের বিরুদ্ধে যারা কথা বলবে তাদের উপর আল্লাহর গজব পড়ুক,",2
নিজেদের মন্দির মূর্তি নিজেরাই ভেঙে এখন মুসলমানদের নাম দিচ্ছে যাতে করে আমাদের কোরআন অবমাননা ধামাচাপা দেয়া যায়,1
"তোরা সাংবাদিক নামের কলংক, গজব পড়ুক তোদের উপর মিথ্যা কথা বলার জন্য। সাধারণ মুসল্লিরা প্রথমে কিছু করে নি, পুলিশেই প্রথমে গুলি ছুড়ে",1
বাংলাদেশে আর একটা মুক্তি যুদ্ধের দরকার,0
"হলুদ মিডিয়া, হাজার হাজার মানুষ বিক্ষোভ করছে এরা বলে কয়েক&#39;শ, নিপাত যাক সকল হলুদ মিডিয়া",1
কুরআনের অপমান সইবনা মুসলমান।। কোরআনের অবমাননা মেনে নেওয়া হবে না।।জাগো মুসলিম জাগো জেগে ওঠো বিশ্বের মুসলমান এক হও এক হও বাতিলের বিরুদ্ধে দুর্গ গড়ে তুলতে হবে ইনশাআল্লাহ।।এই দেশ মোসলমানদের দেশ এখানে ইসলাম ছিল ইসলাম আছে ইসলাম থাকবেই থাকবে ইনশাআল্লাহ,0
আচ্ছা কে কুরান শরীফ রাখছে এটা জানুন না জেনে কারো ধমে আঘাত আনা ঠিক না আগে প্রকৃত দষী কে খুজুন তারপড় বিচার করুন আমি মুসলিম ধমকে সম্যান করি,0
"ফাসি নয়, যেমন করে নিরাপরাধী হিন্দুদের ওপর অত্যাচার হয়েছিলো ঠিক তেমনি ইকবাল হুসেইনের ওপর হামলা হোক",1
"পুলিশের জন্ম হয়েছে কুকুরের পেট থেকে তাই ওদের কোনো ধর্ম নেই, এগুলো হলো বাংলার মাটিতে ঝারস সন্তান",1
এখানে পুলিশের ভূমিকা কঠোর হওয়া উচিত। ধর্মের লেবাস পড়ে সন্ত্রাসী মনোভাব ইসলাম ধর্ম মেনে নেয় না। যারা মূর্তির পদতলে কুরআন রেখেছে। সুষ্ঠু তদন্তের মাধ্যমে বিচার হওয়া উচিত।,0
ধন্যবাদ জনগণ৷হাঁচিনাকে গদি থেকে নামিয়ে দাও ভোটের মাধ্যমে৷আমরা ভারতের মুসলিমরা চাইছি এটা৷,1
পুলিশ বাহিনী আল্লাহ্ তোদের বিচার করবে,0
আগে পুলিশের পাচায় লাথি মারার দরকার থারপরে মিছিল,1
আমাদের দেশে পুলিশ এত ক্ষমতা পায় কোথায় থেকে। এরা যেভাবে জোর দেখায় মনে হয় জনগন সব রোহিঙ্গা আর পুলিশ সব নাগরিক। জনগনের বিরুদ্ধে সবসময় অবস্থান করে।ভাই আমাদের ধর্মে আঘাত করে সেটার প্রতিবাদ কি স্বাধীন দেশের স্বাধীন মানুষ করতে পারে না। আপনারা এতে বাধা দেন কেন। আপনি কি মুসলিম নন। কোরআন কে এত অপমানিত করলো তাতে কি আপনাদের মনে আঘাত আসে নাই।ছিঃ বাংলাদেশের পুলিশ।,0
"অসংখ্য ধন্যবাদ ভাই, মৌলবাদী মুসলিমরা।",0
"যাহা মনে চাই তাই হোক,,, অন্যায় যে ধর্মের করুক ঘুরে ফিরে সব দোষ ইসলামের উপরেই পড়বে এটাই আমরা স্বাধীন বাঙালি মুসলিম রাস্ট্রের নির্যাতিত মুসলিম জাতি😢😢😢",0
এইটা কি পুলিশ না কি আওয়ামী লীগের দালাল,1
এটা কোন দেশে আপা এবং কত সালের যুদ্ধ?,0
"আজকে জনগনের সরকার ক্ষমতায় থাকলে হয়তো বিচারের দাবিতে আন্দোলনরত কোন মুসলমানকে গুলি খেয়ে মরতে হতো না। শাসক গোষ্ঠী গুলি করার আগে হাজার বার ভাবতো কার শরীরে গুলি করতে যাচ্ছে??এই গুলির ফল সারা জীবন ভোগ করতে হবে।তাই জনসাধারণকে বলবো আপনারা ভোট কেন্দ্রে আসুন,যোগ্য ব্যক্তিকে আপনার ভোট দিন। ভোটকেন্দ্রে না এসে ভোটকেন্দ্র খালি রাখবেন না,আপনাদের ভোট কেন্দ্রে না আসা ভোটচোরদের ভোট চুরিতে সহযোগীতার সমতুল্য।এখন আপনার আমার জীবনের কোন মূল্য নাই কারন তারা ভোট ছাড়াই নির্বাচিত।নিজেদের মূল্যায়ন করতে শিখুন।প্রতিবাদ করুন ভোটের মাধ্যমে।",0
তোরা মিডিয়ার লোকদের জন্মের ঠিক নাই । তাই তৌহিদি জনতার মিথ্যা অপবাদ দিস,1
বাংলাদেশ সকল মুসলমানদের আমি একটা কথাই বলতে চাই এরা কি করে সাহস পায় কোরআন শরীফ ওখানে রাখার আর বসে থাকার সময় নাই সবাই কোরআনের প্রেমিক যদি হয়ে থাকো জীবন দিয়ে হলেও কোরআনের সম্মান রাখবো ইনশাল্লাহ আর যারা এই কাজটা করেছে তাদের বিচার চাই বিচার না হলে আন্দোলন আরো বেড়ে যাবে এজন্য এখনো সময় আছে চূড়ান্ত বিচার ফয়সালা করার অনুরোধ রইল সরকারের কাছে?,0
বাংলাদেশ বেশি ভাগ পুলিশ হিন্দু ধর্ম তার কারনে মুসলমান দের উপর হামলা করতে তাদের হাত কাঁপে না,1
"আহারে কিছু ছাত্রলীগের কুত্তা আর ভারতীয় এজেন্ট পুলিশ বাহিনীতে ডুকে আমার পুলিশ ভাইদের বদনাম করছে এর বিচার একদিন হবেই হবে ,,,,,, এমন একটা দিন আসবে ছাত্র লীগ নামে কোনো সংগঠন ছিলো আগামী প্রজন্ম তা জানবেনা",1
আরে ভাই আমরা কোন দেশে বসবাস করতেছি ইসলামের পক্ষে কথা বললে লাশ হয়ে রাস্তায় পড়ে থাকতে এটাকে বলে মুসলিম কান্ট্রি,1
অন্যায়কে প্রশ্রয় দেয়া কোনো মুসলিম এর কাজ হতে পারে না।কুরআন অবমাননার বিচার চাই।মাননীয় প্রধানমন্ত্রীর কথায় আমি হতবাকতিনি পূজা মন্দিরে কথিত হামলার বিচার করবেন কিন্তু কুরআন অবমাননার বিচার এর কথা তার মুখে নাই,0
"পুলিশ, মুসলমানদের মিছিল মিটিংয়ে কেন বাধা দেয়,",0
ধ্বংস হোক সেই হাত যে হাত কুরআন প্রেমিকদের গুলি করে।,2
মোসল্লীরা ইটপাটকেল ছুড়তে দেখলাম না মিথ্যা বলছেন কেন ?,0
মিথ্যা সংবাদ কন পড়,1
বাংলাদেশ ভারতের অংশ জাতীয় সঙ্গীত স্বাধীনতা সবই ভারতের দেওয়া তাছাড়া সংখ‍্যা গরিষ্ঠ ছিল হিন্দু মুসলমানদের অত‍্যাচারে আমরা আজ লগু আমাদের জন্মভূমি মৌলবাদের হাতে পরাদিন।,1
তাইলে এই জইন্য অতি আদরের সহিত ইন্টারনেটখানা বন্ধ করেছিলো,0
অন্নো শিরোনাম হলে তো পুরোটা বলেন। আর এখন বলছেন কুমিল্লার ঘটনায়। এভাবে বলার দরকার ছিল যে কুমিল্লায় মন্দিরে মূত্তির পায়ের নিছে পবিএ আল কোরআন রেখে অবমাননা করায় উত্তাল মুসলিম জনতা । তোদের মিডিয়ার সাংবাদিকরা ভাওতাবাজির জাইগা পাসনা একদিন মরতে তোদের ইবেই ।,1
পুলিশের উপর বোমা মারতে হবে,2
সব সময় কি পুলিশের ঢিল ছোড়ে মিছিল থেকে পুলিশে কিছু করে না,0
মোনিফ কি?? ভাই কি করেন,0
হে আমার প্রিয় মুসলিম ভায়ে হিন্দু জেভাবে পাঠা বলি দেই তেমনি আমরা মুসলিম হয়ে হিন্দু দের বলি দেব,2
এই জন্য আমাদের মিডিয়ার অবস্থা ১৩৮তম।আপনাদের পা চাটা চাটি বন্ধ করুন।,1
বিক্ষোভ মিছিল করলে পুলিশের গুলি চালানো কি দরকার এটা কি সরকারি চাল।,1
বাংলাদেশ এত সম্প্রীতির ....দাদারা বিচার চেয়ে একটা মানবন্ধনও তো করলো না...প্রশাসন কি খালি সনাতনই রাখবে? বাকীরা রোহিঙ্গা হয়ে থাকবে????,1
খুনি হাসিনার বিচার করা হবে,1
সাংবাদিক উপস্থাপিকার বলল যে কুমিল্লার ঘটনা কুমিল্লার কি গঠনা সেটাতো তিনি বিস্তারিত বলে নাই উনি বললো কয়েকশো লোক লক্ষ লক্ষ মানুষ সারা বাংলাদেশে আজ হিন্দু সন্ত্রাসীদের বিরুদ্ধে অবৈধ সরকারের বিরুদ্ধে গর্জে উঠেছে সেটা কি দালাল হলুদ মিডিয়ার চোখে পড়ে না,1
কি অবস্থা বাংলাদেশে ! সংখ্যা লঘুদের কি বাঁচার কোনো অধিকার নেই বাংলাদেশে ? ভারত সরকারের এই ব্যাপারে তাড়াতাড়ি পদক্ষেপ নেওয়া উচিত।,0
একটা একটা পুলিশ ধর । সকল বিকেল নাস্তা কর । পুলিশ কে বলতে চাই । তুমি কার বুকে গুলি চালাও । এরা কেও তোমার ভাই কেও চাচা ।,0
"এরা মসজিদে যায় নামাজ পরে না, উগ্রবাদী কাজ করতে,এরা শান্তির ধর্ম,এ-সব দেখে মনে ইজ্রায়েল আর তালেবান কে হার মানিয়েছে,কুকুর বাচ্চারা,,ফেরাউন বংশ কাফের এর জাতি পাকিস্তানের বীজ",1
আমি চাই সকল হিন্দুদের বিচার হোক এটা দূর্ভাগ্য মন্দির মূর্তিপূজা যা আছে সবকিছু ভেঙে দেওয়া হোক এটা আমরা চাই এটা আমাদের মুসলিম দেশ মুসলিম রাষ্ট্র,2
"আপ্নেদের কেমেরা খারাপ,এখানে একশ জন না। ভাল করে গননা করেন???",0
